inflacao,inflacao,,3,0.895705521,0.944063927,10410.93333
real,real,,4,0.483443709,0.498287671,289
meter,manter,,4,0.483443709,0.498287671,289
gasolina,gasolina,,3,0.488294314,0.503424658,288.5333333
preco,preco,,3,0.489932886,0.50913242,151.0333333
desempregar,desempregado,,4,0.485049834,0.503995434,148.4166667
alta,alta,,4,0.478688525,0.492579909,145
dilma,dilma,,4,0.478688525,0.492579909,145
dinheiro,dinheiro,,4,0.477124183,0.489155251,145
contar,contas,,4,0.477124183,0.489155251,145
familia,familia,,4,0.477124183,0.489155251,145
democracia,democracia,,4,0.477124183,0.489155251,145
crise,crise,,4,0.477124183,0.489155251,145
gas,gas,,4,0.330316742,0.340182648,145
aumentar,aumento,,3,0.501718213,0.526255708,100.7666667
acima,acima,,4,0.483443709,0.498287671,45.61666667
salario,salario,,4,0.480263158,0.496004566,42.61666667
alto,alto,,4,0.485049834,0.503995434,7.833333333
deputar,deputado,,2,0.666666667,0.75,4
juro,juro,,4,0.481848185,0.499429224,3.416666667
senador,senador,,3,0.571428571,0.708333333,3
federar,federal,,3,0.571428571,0.708333333,3
dolar,dolar,,4,0.480263158,0.496004566,2.333333333
subir,subir,,3,0.483443709,0.497716895,2.166666667
ano,ano,,4,0.480263158,0.496004566,2
fome,fome,,4,0.478688525,0.492579909,1
governar,governo,,4,0.478688525,0.492579909,1
passar,passar,,4,0.477124183,0.491438356,0.5
baixo,baixo,,4,0.477124183,0.491438356,0.5
taxar,taxa,,4,0.477124183,0.491438356,0.5
pib,pib,,4,0.477124183,0.491438356,0.5
minimo,minimo,,4,0.339534884,0.353881279,0.333333333
